ProductName,SKU,Category,ItemType,TrackSerials,SerialPrefix,SerialNextNumber,SerialSuffix,Description,DefaultUnitPrice,Markup,IsFixedMarkup,IsTaxInclusivePrice,AGD,Astoria Homes,Beaver Builders,BROOKFIELD,CAS CONSTRUCTION,Country Road Homebuilders,Daniel,David Weekly Homes,DFW Installations,FIG TREE HOMES,FIRST TEXAS HOMES,GH HOMES,Harvest Home Designs,Hunt Homes,Jake Jackson,James Lancaster,JCLI Homes,JOSEPH PAUL HOMES,Key Custom Homes,Malibu Homes,McClintock,Millcreek,NEWPORT HOMEBUILDERS,Pulte ,Stately Design and Renovation,STONEHOLLOW,SUMMA TERRA,TGC Custom Homes,TOLL BROTHERS,TRUTH CONSTRUCTION,TX BUILT CONST,Victor Myers,Villa May,Cost,SpecialTaxRate,LastVendor,VendorProductCode,VendorPrice,BarCode,Uom,SalesUom,SalesUomRatio1,SalesUomRatio2,PurchasingUom,PurchasingUomRatio1,PurchasingUomRatio2,ProductLength,ProductWidth,ProductHeight,ProductWeight,Remarks,CombineQuantityBuildable,AutoManufacture,IsActive
"BC 2'4"" x 6'8"" 6 PANEL TXTRD, RH, HC, 4-9/16"" JAMB, SN HINGES, 2-1/4"" A COL CASING - Copy - Copy",BC000388,PULTE INTERIOR DOORS,Stocked product,FALSE,,,,,0,-100,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,153.52,,,,,,,,,,105.28286,,Boise Cascade,,,BC000388,,,1,1,,1,1,,,,,,FALSE,FALSE,TRUE
"DW DOUBLE 2'0"" x 6'8"" FULL LITE BC HC 4-9/16"" JAMB SN HINGES 2-1/4"" A COL CSNG",BC000389,PULTE INTERIOR DOORS,Stocked product,FALSE,,,,,0,-100,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,410.61,,,,,,,,,,279.81691,,DW Distribution,,,BC000389,,,1,1,,1,1,,,,,,FALSE,FALSE,TRUE
"DW 2868 LH METAL FULL LITE W/MINI BLINDS, 6-9/16"" FJ JAMB, CHROME HINGES, 1"" x 4"" S4S CASING",BC000390,STONEHOLLOW PATIO DOOR,Stocked product,FALSE,,,,,1050.23,150,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,640.89,,,,,,,,420.09,,,,,BC000390,,,1,1,,1,1,0,0,0,0,,FALSE,FALSE,TRUE
"DW 2868 RH METAL FULL LITE W/MINI BLINDS, 6-9/16"" FJ JAMB, CHROME HINGES, 1"" x 4"" S4S CASING",BC000391,STONEHOLLOW PATIO DOOR,Stocked product,FALSE,,,,,0,-100,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,640.89,,,,,,,,420.09,,,,,BC000391,,,1,1,,1,1,0,0,0,0,,FALSE,FALSE,TRUE
"DW 3068 RH BELLEVILLE SMOOTH FG, DBL BORE, 4-9/16"" JAMB, CHROME HINGES, MILL SILL, BM",BC000392,STONEHOLLOW FRONT DOOR,Stocked product,FALSE,,,,,724.95,150,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,499.39,,,,,,,,289.98,,DW Distribution,,,BC000392,,,1,1,,1,1,,,,,,FALSE,FALSE,TRUE
"DW 3068 LH BELLEVILLE SMOOTH FG, DBL BORE, 4-9/16"" JAMB, CHROME HINGES, MILL SILL, BM",BC000393,STONEHOLLOW FRONT DOOR,Stocked product,FALSE,,,,,724.95,150,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,499.39,,,,,,,,289.98,,DW Distribution,,,BC000393,,,1,1,,1,1,0,0,0,0,,FALSE,FALSE,TRUE
SUPERIOR ATTIC STAIR UNIVERSAL 300# S2554 TRIMMABLE FROM 7’6” TO 10’4”,BC000394,ATTIC STAIR,Stocked product,FALSE,,,,"ATTIC STAIR SP101 SUPERIOR STAIR  25-1/2 x 54 x AJUSTABLE 7'6 - 10'4

10/ pallet",687.5,150,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,299,,382.68,,,,433.34,,,,275,,Boise Cascade,,275,BC000394,ea.,ea.,1,1,ea.,1,1,,,,,,FALSE,FALSE,TRUE
LA5 COVE 17MM X 4-1/4 MDF 16',BC000397,TRIM,Stocked product,FALSE,,,,360/ UNIT,23.33,150,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.08,,,,,9.33285,,DW Distribution,,9.33,BC000397,ea.,ea.,1,1,ea.,1,1,0,0,0,0,,FALSE,FALSE,TRUE
"CR-7 CHAIR RAIL 1-3/16"" x 2-1/2"" x 16' FJ",BC000398,PULTE TRADITIONAL MUD BENCH,Stocked product,FALSE,,,,,30.19,150,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.07593,,DW Distribution,,,BC000398,ea.,ea.,1,1,ea.,1,1,0,0,0,0,,FALSE,FALSE,TRUE
"WM-93 COVE 3/4"" x  8'",BC000399,PULTE TRADITIONAL MUD BENCH,Stocked product,FALSE,,,,,10.23,150,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09,,DW Distribution,,,BC000399,ea.,ea.,1,1,ea.,1,1,0,0,0,0,,FALSE,FALSE,TRUE
